top1_query_index,initial_gt_distance_sec,initial_hard_distance_sec,final_gt_distance_sec,final_hard_distance_sec,hard_distance_change_sec,gt_distance_change_sec,reference_attraction_flag,classification,reference_centers_sec,final_center_sec,final_width_gt_ratio,qid,vid,duration_bin,cohort,p3_location_failure,hard_peak_center_sec
1,109.24802434444427,18.251975655555725,122.0,5.5,-12.751975655555725,12.751975655555725,True,begin_hard_and_remain,"[102.7519760131836, 95.16738891601562]",90.0,6.0,BzHTqyX69pI_2,BzHTqyX69pI,2-5s,control,1,84.5
6,2.740059345960617,28.259940654039383,6.5,24.5,-3.759940654039383,3.759940654039383,False,approach_neither,"[28.75994110107422, 25.70079803466797]",25.0,4.0,C5kmOK_l4jc_1,C5kmOK_l4jc,0-2s,control,0,0.5
9,0.40971632301807404,31.090283676981926,4.0,4.5,-26.590283676981926,3.590283676981926,False,approach_neither,"[48.09028244018555, 17.215896606445312]",12.5,1.75,C8kR19NvynA_1,C8kR19NvynA,2-5s,control,0,17.0
9,12.076531931757927,25.076531931757927,11.5,1.5,-23.576531931757927,-0.5765319317579269,True,begin_gt_move_hard,"[30.0765323638916, 15.230219841003418]",6.5,2.75,CO6-i8NLbeo_1,CO6-i8NLbeo,2-5s,harmful,0,5.0
1,2.54182368516922,29.04182368516922,0.5,20.0,-9.04182368516922,-2.04182368516922,False,approach_gt,"[83.54182434082031, 72.3852767944336]",74.5,1.6666666666666667,CO6-i8NLbeo_2,CO6-i8NLbeo,2-5s,control,0,54.5
9,7.150224149227142,9.150224149227142,0.5,1.5,-7.650224149227142,-6.650224149227142,False,approach_gt,"[9.650223731994629, 3.4530563354492188]",2.0,1.3333333333333333,Cbe2B6ohBpw_1,Cbe2B6ohBpw,2-5s,control,0,0.5
9,20.349775850772858,3.8497758507728577,26.5,10.0,6.150224149227142,6.150224149227142,False,begin_hard_and_remain,"[9.650223731994629, 4.203575134277344]",3.5,1.5,Cbe2B6ohBpw_2,Cbe2B6ohBpw,2-5s,control,0,13.5
1,20.922431647777557,116.07756835222244,31.5,105.5,-10.577568352222443,10.577568352222443,False,approach_neither,"[133.57757568359375, 125.11319732666016]",123.0,10.0,CefFMA3klxk_1,CefFMA3klxk,0-2s,harmful,1,17.5
1,39.42243164777756,12.577568352222443,59.0,7.0,-5.577568352222443,19.577568352222443,True,begin_hard_and_remain,"[133.57757568359375, 115.44275665283203]",114.0,6.0,CefFMA3klxk_3,CefFMA3klxk,2-5s,harmful,1,121.0
7,8.839010179042816,0.6609898209571838,8.0,18.5,17.839010179042816,-0.8390101790428162,False,approach_gt,"[80.8390121459961, 67.01876068115234]",63.0,2.0,CvNAwby6Xos_1,CvNAwby6Xos,2-5s,harmful,1,81.5
8,4.038270741701126,87.46172925829887,1.5,96.5,9.038270741701126,-2.538270741701126,False,approach_gt,"[142.96173095703125, 160.25796508789062]",152.0,4.0,D2Xc_jZllDY_2,D2Xc_jZllDY,2-5s,control,0,55.5
9,59.75889395177364,4.2411060482263565,68.5,4.5,0.2588939517736435,8.741106048226357,False,begin_hard_and_remain,"[11.741106033325195, 4.150468349456787]",3.0,1.3333333333333333,Dc2WEiRk0rA_2,Dc2WEiRk0rA,2-5s,control,0,7.5
5,76.58082950115204,15.080829501152039,93.5,32.0,16.91917049884796,16.91917049884796,False,begin_hard_and_remain,"[78.08082580566406, 94.23480224609375]",95.0,6.666666666666667,DjKGzOe_COc_1,DjKGzOe_COc,2-5s,control,1,63.0
4,13.116771876811981,9.116771876811981,11.5,7.5,-1.6167718768119812,-1.6167718768119812,True,begin_hard_and_remain,"[58.11677169799805, 60.92326354980469]",56.5,1.5,Dn3buZWMzwY_1,Dn3buZWMzwY,2-5s,control,0,49.0
3,11.063750147819519,22.06375014781952,4.5,6.5,-15.563750147819519,-6.563750147819519,False,approach_gt,"[75.43624877929688, 92.4686279296875]",91.0,6.0,Dn3buZWMzwY_2,Dn3buZWMzwY,0-2s,control,0,97.5
3,12.063750147819519,10.063750147819519,3.0,5.0,-5.063750147819519,-9.063750147819519,False,approach_gt,"[75.43624877929688, 91.49018859863281]",90.5,9.0,Dn3buZWMzwY_3,Dn3buZWMzwY,0-2s,control,0,85.5
6,10.040938287973404,14.540938287973404,1.5,6.0,-8.540938287973404,-8.540938287973404,False,approach_gt,"[36.04093933105469, 30.919544219970703]",27.5,8.5,Dn3buZWMzwY_4,Dn3buZWMzwY,2-5s,harmful,0,21.5
3,36.10679316520691,31.60679316520691,3.0,1.5,-30.10679316520691,-33.10679316520691,True,begin_hard_and_remain,"[120.39320373535156, 151.63568115234375]",153.5,1.6666666666666667,E3D_z0aoUEg_4,E3D_z0aoUEg,2-5s,harmful,0,152.0
9,3.8497758507728577,6.150224149227142,12.0,2.0,-4.150224149227142,8.150224149227142,True,begin_gt_move_hard,"[9.650223731994629, 3.260965347290039]",1.5,1.5,E3Q1jfTeuWs_1,E3Q1jfTeuWs,2-5s,control,1,3.5
9,20.349775850772858,7.650224149227142,28.5,0.5,-7.150224149227142,8.150224149227142,True,begin_hard_and_remain,"[9.650223731994629, 3.282177448272705]",1.5,1.5,E3Q1jfTeuWs_2,E3Q1jfTeuWs,2-5s,control,0,2.0
9,69.90971632301807,22.090283676981926,113.0,21.0,-1.090283676981926,43.090283676981926,True,begin_hard_and_remain,"[48.09028244018555, 13.17426586151123]",5.0,5.0,ECw5Yf7QoMo_3,ECw5Yf7QoMo,2-5s,harmful,1,26.0
1,16.577568352222443,13.577568352222443,1.5,4.5,-9.077568352222443,-15.077568352222443,False,approach_gt,"[133.57757568359375, 121.13255310058594]",115.5,3.75,ESjMIqrvRj4_2,ESjMIqrvRj4,2-5s,control,0,120.0
8,55.538270741701126,25.538270741701126,42.5,12.5,-13.038270741701126,-13.038270741701126,True,begin_hard_and_remain,"[142.96173095703125, 158.52249145507812]",156.0,12.0,ESjMIqrvRj4_5,ESjMIqrvRj4,0-2s,control,0,168.5
9,15.461883589625359,6.961883589625359,30.5,22.0,15.038116410374641,15.038116410374641,False,begin_hard_and_remain,"[26.538116455078125, 13.050623893737793]",11.5,4.25,EUZaxaWqhwg_1,EUZaxaWqhwg,2-5s,control,1,33.5
6,21.844168573617935,40.155831426382065,35.0,27.0,-13.155831426382065,13.155831426382065,True,begin_gt_move_hard,"[57.15583038330078, 50.589569091796875]",44.0,5.0,EcihYbSlyck_3,EcihYbSlyck,2-5s,harmful,1,17.0
5,143.60596632957458,25.394033670425415,167.0,2.0,-23.394033670425415,23.394033670425415,True,begin_hard_and_remain,"[145.10597229003906, 175.3424835205078]",168.5,5.0,ErxgH5g3Kx0_1,ErxgH5g3Kx0,0-2s,control,1,170.5
6,29.45047515630722,33.54952484369278,22.5,40.5,6.9504751563072205,-6.9504751563072205,False,approach_gt,"[76.45047760009766, 77.66763305664062]",69.5,3.5,ErxgH5g3Kx0_2,ErxgH5g3Kx0,2-5s,harmful,0,110.0
9,4.737369000911713,0.26263099908828735,5.0,10.0,9.737369000911713,0.26263099908828735,False,approach_neither,"[30.237369537353516, 18.5750732421875]",20.5,1.6666666666666667,EzWEO2WD_MM_1,EzWEO2WD_MM,2-5s,control,1,30.5
5,5.595611095428467,39.90438890457153,5.5,51.0,11.095611095428467,-0.0956110954284668,False,approach_gt,"[129.90438842773438, 141.98953247070312]",141.0,28.666666666666668,EzWEO2WD_MM_2,EzWEO2WD_MM,2-5s,control,0,90.0
7,0.38635432720184326,61.88635432720184,2.0,59.5,-2.3863543272018433,1.6136456727981567,False,approach_neither,"[54.6136474609375, 52.92692565917969]",57.0,2.0,FDwK7T1JO_0_2,FDwK7T1JO_0,2-5s,control,0,116.5
9,249.90971632301807,15.590283676981926,266.5,1.0,-14.590283676981926,16.590283676981926,True,begin_hard_and_remain,"[48.09028244018555, 36.5126953125]",31.5,11.25,FR7BDRhMATo_2,FR7BDRhMATo,2-5s,control,1,32.5
1,32.57756835222244,23.077568352222443,3.0,6.5,-16.577568352222443,-29.577568352222443,False,approach_gt,"[133.57757568359375, 113.9256591796875]",104.0,2.5,FXdoNvmrYxo_2,FXdoNvmrYxo,2-5s,harmful,0,110.5
9,46.090283676981926,27.090283676981926,13.0,6.0,-21.090283676981926,-33.090283676981926,True,begin_hard_and_remain,"[48.09028244018555, 20.368364334106445]",15.0,7.0,Flk-X0gwjF4_1,Flk-X0gwjF4,2-5s,control,1,21.0
9,143.40971632301807,24.090283676981926,177.0,9.5,-14.590283676981926,33.590283676981926,True,begin_hard_and_remain,"[48.09028244018555, 17.080690383911133]",14.5,9.0,G3YO2unWz7k_1,G3YO2unWz7k,0-2s,control,1,24.0
7,14.421249866485596,5.421249866485596,1.5,7.5,2.0787501335144043,-12.921249866485596,False,approach_gt,"[45.42124938964844, 32.005516052246094]",32.5,2.5,GGgQR7aIofY_1,GGgQR7aIofY,2-5s,control,0,40.0
6,28.339619874954224,1.8396198749542236,48.0,21.5,19.660380125045776,19.660380125045776,False,begin_hard_and_remain,"[61.16038131713867, 44.986934661865234]",41.5,2.3333333333333335,GGgQR7aIofY_3,GGgQR7aIofY,2-5s,harmful,1,63.0
3,0.20428049564361572,22.204280495643616,17.0,5.0,-17.204280495643616,16.795719504356384,True,begin_gt_move_hard,"[98.29572296142578, 117.8899154663086]",115.5,2.3333333333333335,GOD8Bt5LfDE_2,GOD8Bt5LfDE,2-5s,harmful,1,120.5
5,16.86347782611847,82.13652217388153,5.0,104.0,21.86347782611847,-11.86347782611847,False,approach_gt,"[89.13652038574219, 109.1461410522461]",111.0,2.0,GOD8Bt5LfDE_3,GOD8Bt5LfDE,2-5s,control,1,7.0
3,35.332714200019836,68.66728579998016,81.0,23.0,-45.667285799980164,45.667285799980164,True,begin_gt_move_hard,"[227.8327178955078, 272.5638427734375]",273.5,4.333333333333333,Gkb4f6yodPE_2,Gkb4f6yodPE,2-5s,harmful,1,296.5
9,8.04215256869793,4.457847431302071,12.0,0.5,-3.9578474313020706,3.9578474313020706,True,begin_hard_and_remain,"[14.957847595214844, 10.972512245178223]",11.0,5.5,H7-orYrKBeo_1,H7-orYrKBeo,2-5s,control,1,10.5
9,42.590283676981926,34.590283676981926,2.5,5.5,-29.090283676981926,-40.090283676981926,False,approach_gt,"[48.09028244018555, 20.978130340576172]",8.0,3.3333333333333335,H7rd9bZtbgc_1,H7rd9bZtbgc,2-5s,control,1,13.5
5,103.10325682163239,65.60325682163239,110.0,72.5,6.896743178367615,6.896743178367615,False,begin_hard_and_remain,"[206.60325622558594, 217.08363342285156]",213.5,155.0,H7rd9bZtbgc_2,H7rd9bZtbgc,0-2s,control,1,141.0
1,9.567902743816376,22.432097256183624,13.5,18.5,-3.9320972561836243,3.9320972561836243,False,approach_neither,"[29.932096481323242, 27.13727378845215]",26.0,4.0,HVz-FJBf_iM_1,HVz-FJBf_iM,0-2s,control,0,7.5
9,3.4612853676080704,3.5387146323919296,2.0,18.0,14.46128536760807,-1.4612853676080704,False,approach_gt,"[19.461284637451172, 9.444133758544922]",5.0,2.0,HdPSebdDxe4_1,HdPSebdDxe4,2-5s,control,0,23.0
9,93.53871463239193,16.46128536760807,110.5,0.5,-15.96128536760807,16.96128536760807,True,begin_hard_and_remain,"[19.461284637451172, 4.988505840301514]",2.5,0.75,HdPSebdDxe4_4,HdPSebdDxe4,2-5s,control,0,3.0
9,100.90971632301807,26.090283676981926,145.5,18.5,-7.590283676981926,44.590283676981926,True,begin_hard_and_remain,"[48.09028244018555, 20.64181137084961]",3.5,3.5,Hdxfbpnd2-8_3,Hdxfbpnd2-8,2-5s,harmful,1,22.0
0,42.75329679250717,149.25329679250717,58.5,165.0,15.746703207492828,15.746703207492828,False,approach_neither,"[202.2532958984375, 223.19764709472656]",218.0,12.0,Hdxfbpnd2-8_4,Hdxfbpnd2-8,0-2s,harmful,0,53.0
9,167.90971632301807,21.590283676981926,188.0,1.5,-20.090283676981926,20.090283676981926,True,begin_hard_and_remain,"[48.09028244018555, 31.02999496459961]",28.0,14.0,HxZADVzNIqs_2,HxZADVzNIqs,2-5s,control,1,26.5
3,6.332714200019836,214.83271420001984,59.5,268.0,53.167285799980164,53.167285799980164,False,approach_neither,"[227.8327178955078, 280.7185974121094]",281.0,8.666666666666666,HxZADVzNIqs_3,HxZADVzNIqs,2-5s,control,1,13.0
9,158.720777541399,12.779222458600998,173.5,2.0,-10.779222458600998,14.779222458600998,True,begin_hard_and_remain,"[38.27922058105469, 25.575090408325195]",23.5,9.25,I4HpYGMMsz4_1,I4HpYGMMsz4,2-5s,harmful,1,25.5
6,15.91357472538948,5.413574725389481,9.5,1.0,-4.413574725389481,-6.413574725389481,True,begin_hard_and_remain,"[76.08642578125, 81.7101058959961]",82.5,3.5,IJ6pm5Kns8A_1,IJ6pm5Kns8A,2-5s,harmful,1,81.5
5,29.41498553752899,38.91498553752899,1.0,67.5,28.58501446247101,-28.41498553752899,False,approach_gt,"[144.41497802734375, 176.41732788085938]",173.0,3.0,IJ6pm5Kns8A_2,IJ6pm5Kns8A,2-5s,control,0,105.5
1,73.13580548763275,7.3641945123672485,82.5,2.0,-5.3641945123672485,9.364194512367249,True,begin_hard_and_remain,"[59.864192962646484, 55.5602912902832]",50.5,2.5,IsUG5SKWNZA_2,IsUG5SKWNZA,2-5s,harmful,0,52.5
8,4.501259803771973,42.00125980377197,1.0,46.5,4.498740196228027,-3.5012598037719727,False,approach_gt,"[76.50125885009766, 84.12348937988281]",81.0,3.0,ItS07xtdi4s_3,ItS07xtdi4s,2-5s,control,0,34.5
0,44.72918891906738,26.229188919067383,38.5,20.0,-6.229188919067383,-6.229188919067383,True,begin_hard_and_remain,"[108.22918701171875, 108.13055419921875]",102.0,4.0,ItS07xtdi4s_5,ItS07xtdi4s,0-2s,harmful,0,82.0
0,63.37437802553177,49.37437802553177,61.5,47.5,-1.8743780255317688,-1.8743780255317688,True,begin_hard_and_remain,"[141.37437438964844, 147.53622436523438]",139.5,7.5,JC2ZrXzCX4Y_2,JC2ZrXzCX4Y,2-5s,control,1,92.0
9,0.3463379144668579,3.846337914466858,6.5,10.0,6.153662085533142,6.153662085533142,False,approach_neither,"[14.153661727905273, 9.888429641723633]",8.0,3.3333333333333335,JZloTOdIY_c_3,JZloTOdIY_c,2-5s,harmful,1,18.0
9,20.25112074613571,35.25112074613571,17.0,2.0,-33.25112074613571,-3.2511207461357117,True,begin_gt_move_hard,"[48.251121520996094, 14.445428848266602]",11.0,4.5,JmWaRt8-u0s_1,JmWaRt8-u0s,2-5s,harmful,1,13.0
3,8.731502652168274,17.231502652168274,8.0,0.5,-16.731502652168274,-0.7315026521682739,True,begin_gt_move_hard,"[64.76849365234375, 81.50208282470703]",81.5,1.0,K-7Y8yhcUiw_3,K-7Y8yhcUiw,2-5s,harmful,1,82.0
9,1.580568090081215,2.419431909918785,1.0,1.0,-1.419431909918785,-0.5805680900812149,False,approach_gt,"[11.419431686401367, 8.8518648147583]",8.0,3.3333333333333335,K03ydb1uaoQ_1,K03ydb1uaoQ,2-5s,control,0,9.0
1,26.014650464057922,16.985349535942078,23.5,12.0,-4.985349535942078,-2.5146504640579224,True,begin_hard_and_remain,"[29.485349655151367, 26.6103458404541]",24.5,1.5,KJhGuhNHToA_1,KJhGuhNHToA,2-5s,control,1,12.5
6,11.52729219198227,22.52729219198227,11.5,22.5,-0.027292191982269287,-0.027292191982269287,False,approach_gt,"[24.027292251586914, 23.02519416809082]",24.0,2.0,KJhGuhNHToA_2,KJhGuhNHToA,2-5s,control,0,1.5
0,4.144540429115295,11.355459570884705,8.5,7.0,-4.355459570884705,4.355459570884705,True,begin_gt_move_hard,"[44.64453887939453, 49.29815673828125]",49.0,1.3333333333333333,KJhGuhNHToA_4,KJhGuhNHToA,2-5s,control,0,56.0
7,13.854531109333038,7.145468890666962,0.5,21.5,14.354531109333038,-13.354531109333038,False,approach_gt,"[47.854530334472656, 34.00204086303711]",33.5,1.25,K_Vre_-4KqU_2,K_Vre_-4KqU,2-5s,control,0,55.0
6,31.984667390584946,4.015332609415054,34.5,1.5,-2.5153326094150543,2.5153326094150543,True,begin_hard_and_remain,"[53.51533126831055, 46.421875]",51.0,4.0,Kel-hfZ_9h8_4,Kel-hfZ_9h8,0-2s,harmful,1,49.5
9,13.590283676981926,46.590283676981926,26.0,7.0,-39.590283676981926,12.409716323018074,True,begin_gt_move_hard,"[48.09028244018555, 13.404205322265625]",8.5,9.0,KnsKf9KoNds_1,KnsKf9KoNds,0-2s,harmful,1,1.5
6,32.649085372686386,21.850914627313614,60.5,6.0,-15.850914627313614,27.850914627313614,True,begin_hard_and_remain,"[108.85091400146484, 91.95256805419922]",81.0,3.3333333333333335,KnsKf9KoNds_2,KnsKf9KoNds,2-5s,control,1,87.0
9,16.91569486260414,153.58430513739586,1.5,172.0,18.41569486260414,-15.415694862604141,False,approach_gt,"[29.915695190429688, 11.223323822021484]",11.5,1.25,KvrcRMfFzOE_1,KvrcRMfFzOE,2-5s,harmful,0,183.5
9,17.695515543222427,19.695515543222427,2.0,4.0,-15.695515543222427,-15.695515543222427,False,approach_gt,"[22.195514678955078, 7.532512664794922]",6.5,3.5,LB6CZ0x-kns_1,LB6CZ0x-kns,2-5s,control,0,2.5
7,71.89062523841858,42.60937476158142,101.0,13.5,-29.10937476158142,29.10937476158142,True,begin_hard_and_remain,"[81.109375, 54.289344787597656]",52.0,3.5,LCwSUVuTyvg_2,LCwSUVuTyvg,2-5s,harmful,0,38.5
6,10.714964509010315,13.285035490989685,6.5,30.5,17.214964509010315,-4.214964509010315,False,approach_gt,"[109.2149658203125, 94.72262573242188]",92.0,12.0,LP_DzNUkAKY_1,LP_DzNUkAKY,0-2s,harmful,0,122.5
0,10.570270776748657,79.92972922325134,3.5,94.0,14.070270776748657,-7.070270776748657,False,approach_gt,"[202.9297332763672, 225.20945739746094]",217.0,2.5,LP_DzNUkAKY_2,LP_DzNUkAKY,2-5s,harmful,0,123.0
0,64.87372934818268,21.626270651817322,81.0,5.5,-16.126270651817322,16.126270651817322,True,begin_hard_and_remain,"[152.8737335205078, 169.67799377441406]",169.0,3.3333333333333335,LVvS3s9dFKw_2,LVvS3s9dFKw,2-5s,harmful,1,174.5
5,16.161659002304077,140.66165900230408,47.0,171.5,30.838340997695923,30.838340997695923,False,approach_neither,"[156.16165161132812, 191.4626007080078]",187.0,5.0,LVvS3s9dFKw_3,LVvS3s9dFKw,2-5s,control,1,15.5
8,20.166529595851898,40.3334704041481,0.0,60.5,20.166529595851898,-20.166529595851898,False,approach_gt,"[134.83346557617188, 156.09324645996094]",155.0,5.0,LvMA1Wcgu3w_1,LvMA1Wcgu3w,2-5s,harmful,0,94.5
9,4.188938781619072,8.811061218380928,1.0,1.5,-7.311061218380928,-3.188938781619072,False,approach_gt,"[9.811060905456543, 3.7342214584350586]",2.5,1.6666666666666667,MBP4RcnwGZw_1,MBP4RcnwGZw,2-5s,control,0,1.0
6,66.28503549098969,26.785035490989685,66.5,27.0,0.21496450901031494,0.21496450901031494,False,begin_hard_and_remain,"[109.2149658203125, 111.55677795410156]",109.0,32.0,MPLZUg89y5U_2,MPLZUg89y5U,0-2s,control,1,136.0
6,104.43463170528412,36.56536829471588,111.0,30.0,-6.565368294715881,6.565368294715881,True,begin_hard_and_remain,"[97.56536865234375, 98.03633880615234]",91.0,5.0,MVGhC-xB79s_2,MVGhC-xB79s,2-5s,control,1,61.0
9,25.699551701545715,8.300448298454285,36.5,2.5,-5.800448298454285,10.800448298454285,True,begin_hard_and_remain,"[19.300447463989258, 7.97123908996582]",8.5,1.5,MdlEswBfZMQ_2,MdlEswBfZMQ,2-5s,control,1,11.0
9,72.07713015377522,9.922869846224785,85.5,3.5,-6.422869846224785,13.422869846224785,True,begin_hard_and_remain,"[15.922869682312012, 5.419920921325684]",2.5,2.5,MkbP_8zJwXU_2,MkbP_8zJwXU,2-5s,harmful,0,6.0
0,0.4674593210220337,37.467459321022034,0.5,42.5,5.032540678977966,0.03254067897796631,False,approach_neither,"[55.46746063232422, 60.09914779663086]",60.5,1.5,MvHpNzDpC6Q_1,MvHpNzDpC6Q,2-5s,control,0,18.0
0,1.2532967925071716,101.25329679250717,10.0,111.5,10.246703207492828,8.746703207492828,False,approach_neither,"[202.2532958984375, 218.7555389404297]",212.5,3.0,N_s9F4CI_98_2,N_s9F4CI_98,2-5s,control,0,101.0
9,52.91285514831543,20.08714485168457,64.5,8.5,-11.58714485168457,11.58714485168457,True,begin_hard_and_remain,"[20.58714485168457, 15.004779815673828]",9.0,6.0,NeWW30WZjPc_1,NeWW30WZjPc,0-2s,control,1,0.5
9,37.590283676981926,27.090283676981926,8.0,2.5,-24.590283676981926,-29.590283676981926,True,begin_hard_and_remain,"[48.09028244018555, 25.938444137573242]",18.5,4.333333333333333,Ni3dIj90Oa4_2,Ni3dIj90Oa4,2-5s,harmful,1,21.0
6,0.8509146273136139,51.350914627313614,10.5,16.5,-34.850914627313614,9.649085372686386,False,approach_neither,"[108.85091400146484, 85.7491455078125]",74.0,3.0,NlKlRKz8OKI_1,NlKlRKz8OKI,2-5s,control,0,57.5
4,15.475608170032501,38.9756081700325,0.5,24.0,-14.975608170032501,-14.975608170032501,False,approach_gt,"[175.52439880371094, 198.67910766601562]",190.5,4.5,NlKlRKz8OKI_2,NlKlRKz8OKI,2-5s,harmful,0,214.5
0,64.25329679250717,10.246703207492828,73.5,1.0,-9.246703207492828,9.246703207492828,True,begin_hard_and_remain,"[202.2532958984375, 215.18963623046875]",211.5,11.5,OMGHnJV0l2U_1,OMGHnJV0l2U,2-5s,control,1,212.5
8,33.185452818870544,47.314547181129456,25.5,55.0,7.685452818870544,-7.685452818870544,False,approach_gt,"[124.31454467773438, 128.57240295410156]",132.0,6.0,OUUckswAaNI_4,OUUckswAaNI,0-2s,control,0,77.0
9,2.590283676981926,16.409716323018074,10.0,48.5,32.090283676981926,7.409716323018074,False,approach_neither,"[48.09028244018555, 22.20523452758789]",16.0,8.0,ObWjGBJF_94_1,ObWjGBJF_94,2-5s,harmful,1,64.5
3,6.172638773918152,15.172638773918152,14.0,23.0,7.827361226081848,7.827361226081848,False,approach_neither,"[58.672637939453125, 67.37706756591797]",66.5,5.0,OpiWMltpj44_1,OpiWMltpj44,2-5s,harmful,0,43.5
6,38.46815910935402,42.46815910935402,46.0,50.0,7.531840890645981,7.531840890645981,False,approach_neither,"[28.031841278076172, 23.317537307739258]",20.5,7.0,OpiWMltpj44_3,OpiWMltpj44,0-2s,control,0,70.5
3,10.327361226081848,45.67263877391815,1.0,57.0,11.327361226081848,-9.327361226081848,False,approach_gt,"[58.672637939453125, 71.8315658569336]",70.0,1.0,OpiWMltpj44_4,OpiWMltpj44,2-5s,control,0,13.0
8,3.360389828681946,18.360389828681946,3.5,9.5,-8.860389828681946,0.1396101713180542,False,approach_neither,"[128.1396026611328, 137.7285919189453]",137.0,4.666666666666667,Ot0bN_hz2ec_3,Ot0bN_hz2ec,2-5s,control,0,146.5
6,25.795819401741028,48.20418059825897,24.0,41.5,-6.704180598258972,-1.7958194017410278,False,approach_gt,"[59.70418167114258, 56.116485595703125]",53.0,2.6666666666666665,PO8Nu3F8mkA_1,PO8Nu3F8mkA,2-5s,control,0,11.5
9,17.25112074613571,45.75112074613571,5.5,23.0,-22.75112074613571,-11.751120746135712,False,approach_gt,"[48.251121520996094, 21.42957305908203]",25.5,6.25,PTyFYxXdut4_2,PTyFYxXdut4,2-5s,control,0,2.5
1,39.55647414922714,10.556474149227142,34.5,5.5,-5.056474149227142,-5.056474149227142,True,begin_hard_and_remain,"[54.05647277832031, 50.89766311645508]",49.0,4.0,PYP-r0nvbFk_2,PYP-r0nvbFk,0-2s,harmful,1,43.5
1,26.556474149227142,25.056474149227142,21.0,19.5,-5.556474149227142,-5.556474149227142,True,begin_hard_and_remain,"[54.05647277832031, 49.667598724365234]",48.5,5.0,PYP-r0nvbFk_3,PYP-r0nvbFk,0-2s,harmful,0,29.0
7,1.9437499046325684,7.943749904632568,1.0,5.0,-2.9437499046325684,-0.9437499046325684,False,approach_gt,"[32.443748474121094, 28.871524810791016]",29.5,3.5,Pb6MqpdX5Jw_4,Pb6MqpdX5Jw,2-5s,control,0,24.5
0,7.828108310699463,4.671891689300537,9.0,3.5,-1.171891689300537,1.171891689300537,True,begin_hard_and_remain,"[81.17189025878906, 83.08179473876953]",80.0,3.0,Pb6MqpdX5Jw_5,Pb6MqpdX5Jw,2-5s,control,0,76.5
1,18.133313059806824,10.866686940193176,13.5,15.5,4.633313059806824,-4.633313059806824,False,approach_gt,"[36.6333122253418, 33.991397857666016]",32.0,1.3333333333333333,QHfyKaOHSz4_2,QHfyKaOHSz4,2-5s,harmful,1,47.5
7,23.085729241371155,10.914270758628845,35.0,1.0,-9.914270758628845,11.914270758628845,True,begin_hard_and_remain,"[25.414270401000977, 17.065500259399414]",13.5,3.0,QKHpSAAjakY_1,QKHpSAAjakY,0-2s,control,0,14.5
5,12.047805547714233,16.547805547714233,1.0,5.5,-11.047805547714233,-11.047805547714233,False,approach_gt,"[64.95219421386719, 76.0107192993164]",76.0,3.0,QKHpSAAjakY_3,QKHpSAAjakY,2-5s,harmful,0,81.5
4,8.370094060897827,18.870094060897827,0.5,11.0,-7.870094060897827,-7.870094060897827,False,approach_gt,"[152.62991333007812, 165.0277862548828]",160.5,3.75,QOmV7O9mFwg_1,QOmV7O9mFwg,2-5s,control,0,171.5
5,26.844994068145752,133.65500593185425,8.5,169.0,35.34499406814575,-18.344994068145752,False,approach_gt,"[179.65499877929688, 219.5297393798828]",215.0,6.666666666666667,QOmV7O9mFwg_2,QOmV7O9mFwg,2-5s,harmful,0,46.0
0,54.1275680065155,42.3724319934845,46.5,50.0,7.627568006515503,-7.627568006515503,False,approach_gt,"[175.8724365234375, 190.01480102539062]",183.5,4.5,QOmV7O9mFwg_3,QOmV7O9mFwg,2-5s,control,0,133.5
9,37.090283676981926,43.090283676981926,3.0,3.0,-40.090283676981926,-34.090283676981926,False,approach_gt,"[48.09028244018555, 15.175686836242676]",8.0,8.0,QRtuOWWya30_1,QRtuOWWya30,2-5s,harmful,1,5.0
6,11.821935921907425,20.321935921907425,4.0,4.5,-15.821935921907425,-7.821935921907425,False,approach_gt,"[43.321937561035156, 32.561180114746094]",27.5,1.0,QvATUKXYFBs_2,QvATUKXYFBs,2-5s,harmful,1,23.0
6,6.678064078092575,2.821935921907425,3.5,6.0,3.178064078092575,-3.178064078092575,False,approach_gt,"[43.321937561035156, 48.12745666503906]",46.5,6.25,QvATUKXYFBs_4,QvATUKXYFBs,2-5s,control,0,40.5
9,0.39133019745349884,3.891330197453499,1.0,3.0,-0.8913301974534988,0.6086698025465012,False,approach_neither,"[21.39133071899414, 13.92214298248291]",14.5,1.6666666666666667,R4fXcbWFhJg_1,R4fXcbWFhJg,2-5s,control,0,17.5
9,17.6086698025465,4.891330197453499,29.0,6.5,1.6086698025465012,11.391330197453499,False,begin_hard_and_remain,"[21.39133071899414, 11.027366638183594]",10.0,2.0,R4fXcbWFhJg_2,R4fXcbWFhJg,2-5s,harmful,0,16.5
3,70.16728579998016,64.33271420001984,4.0,130.5,66.16728579998016,-66.16728579998016,False,approach_gt,"[227.8327178955078, 291.7679748535156]",294.0,1.5,RNBoH2LHQEM_2,RNBoH2LHQEM,2-5s,control,0,163.5
0,56.96486461162567,14.535135388374329,71.5,0.0,-14.535135388374329,14.535135388374329,True,begin_hard_and_remain,"[101.4648666381836, 115.04521942138672]",116.0,1.3333333333333333,RfGapDlAYoQ_1,RfGapDlAYoQ,2-5s,harmful,0,116.0
0,49.96486461162567,14.535135388374329,64.0,0.5,-14.035135388374329,14.035135388374329,True,begin_hard_and_remain,"[101.4648666381836, 113.87733459472656]",115.5,5.0,RfGapDlAYoQ_2,RfGapDlAYoQ,0-2s,harmful,1,116.0
